cliente,entrega,devolución,masa_tortilla,masa_tamal,repartidor,fecha
estrella,6.0,0.0,0.0,0.0,berta,2021-09-28
arroyo,7.5,1.0,0.0,0.0,,2020-07-06
paraiso,3.0,1.0,0.0,0.0,cesar,2024-03-22
marta,4.0,0.5,0.0,0.0,,2023-03-16
lalo,14.0,0.0,0.0,0.0,,2025-02-06
gordillo,3.5,0.0,0.0,0.0,,2025-05-30
clinica_central,2.5,0.0,0.0,0.0,berta,2020-11-24
concha,12.5,2.0,0.0,0.0,,2026-01-26
roja_2,2.0,0.0,0.0,0.0,,2024-01-18
tito,8.5,0.0,0.0,0.0,arturo,2024-11-22
marta,18.5,4.5,0.0,0.0,arturo,2025-05-30
roja_2,3.0,0.0,0.0,0.0,berta,2026-01-05
remedios,12.5,0.0,0.0,0.0,berta,2025-12-10
tito,7.0,0.0,0.0,0.0,arturo,2023-03-13
colinas,6.0,1.5,0.0,0.0,,2024-10-08
clinica_central,0.5,0.0,0.0,0.0,berta,2021-05-29
socorro,5.5,0.0,0.0,0.0,cesar,2021-03-20
ciruela,6.5,0.0,0.0,0.0,arturo,2022-05-20
tito,5.0,0.0,0.0,0.0,,2025-11-22
estrella,10.5,0.0,0.0,0.0,berta,2021-07-26
leonor,4.0,0.0,0.0,0.0,,2021-02-02
tito,5.5,0.5,0.0,0.0,,2020-10-23
colinas,7.0,0.0,0.0,0.0,berta,2021-12-03
clinica_central,3.0,0.0,0.0,0.0,diana,2023-01-04
lalo,16.0,0.0,0.0,0.0,edgar,2022-06-17
juarez_norte,4.5,4.0,0.0,0.0,arturo,2025-12-11
ciruela,4.0,0.0,0.0,0.0,,2022-12-03
tequileria,9.0,1.5,0.0,0.0,german,2021-03-24
roja_2,3.0,1.0,0.0,0.0,,2023-04-01
roberto,13.0,0.0,0.0,0.0,cesar,2023-01-11
estrella,11.0,2.5,0.0,0.0,berta,2024-03-04
clinica_central,0.5,0.0,0.0,0.0,edgar,2025-12-19
villa_real,5.0,0.0,0.0,0.0,arturo,2024-12-27
chakas,2.0,0.0,0.0,0.0,,2025-12-06
paraiso,1.5,1.0,0.0,0.0,berta,2022-09-20
arroyo,7.5,0.0,0.0,0.0,berta,2021-10-09
gordillo,12.5,0.0,0.0,0.0,berta,2024-09-04
pastora,5.5,0.0,0.0,0.0,berta,2025-09-24
dona_mary,6.0,0.5,0.0,0.0,julia,2021-01-06
socorro,2.0,2.0,0.0,0.0,berta,2023-08-30
mariela,11.5,0.0,0.0,0.0,diana,2021-08-05
dona_mary,7.0,0.5,0.0,0.0,,2024-03-25
marta,14.0,0.0,0.0,0.0,edgar,2025-11-14
leonor,5.5,0.0,0.0,0.0,hilda,2021-05-19
chayo,5.0,0.0,0.0,0.0,flor,2025-03-18
dona_mary,5.5,0.0,0.0,0.0,berta,2023-06-07
mercadito,14.5,0.0,0.0,0.0,,2022-04-12
paraiso,3.0,0.0,0.0,0.0,german,2025-05-16
amparo,5.0,2.5,0.0,0.0,diana,2025-11-22
arroyo,10.0,0.0,0.0,0.0,arturo,2020-12-26
marta,8.0,0.5,0.0,0.0,edgar,2022-11-08
marta,14.0,2.0,0.0,0.0,hilda,2023-06-10
xavier,3.5,0.0,0.0,0.0,,2023-11-08
estrella,9.5,0.0,0.0,0.0,,2020-08-14
roberto,13.0,0.0,0.0,0.0,,2020-11-11
patricia,2.0,0.0,0.0,0.0,diana,2023-06-03
lalo,8.0,0.0,0.0,0.0,flor,2021-07-17
france,2.0,1.0,0.0,0.0,,2021-04-10
hacienda,8.0,0.0,0.0,0.0,cesar,2024-05-18
leonor,6.5,0.0,0.0,0.0,flor,2024-12-06
concha,11.5,0.0,0.0,0.0,berta,2026-02-17
estrella,15.5,0.0,0.0,0.0,cesar,2024-08-23
arroyo,1.0,3.5,0.0,0.0,arturo,2021-03-31
concha,6.5,0.0,0.0,0.0,diana,2022-11-12
leonor,4.0,0.0,0.0,0.0,,2024-06-12
roja_2,3.5,0.5,0.0,0.0,,2021-10-29
lalo,12.5,0.0,0.0,0.0,,2023-06-26
ciruela,5.5,0.0,0.0,0.0,berta,2022-01-19
gordillo,2.0,0.0,0.0,0.0,arturo,2023-09-20
mercadito,9.5,1.0,0.0,0.0,arturo,2022-12-08
xavier,7.5,0.0,0.0,0.0,cesar,2025-01-27
lalo,19.0,0.0,0.0,0.0,ivan,2022-02-16
leonor,3.5,0.0,0.0,0.0,german,2022-10-18
patricia,5.0,1.0,0.0,0.0,,2024-04-17
tequileria,2.0,2.5,0.0,0.0,julia,2024-10-21
lalo,9.5,0.0,0.0,0.0,,2023-01-20
roberto,8.0,0.0,0.0,0.0,berta,2025-08-16
gordillo,6.0,1.5,0.0,0.0,berta,2023-01-17
bibi,13.0,0.0,0.0,0.0,,2024-09-03
gordillo,8.5,0.0,0.0,0.0,german,2023-05-30
amparo,5.0,1.0,0.0,0.0,diana,2020-07-17
pastora,4.5,0.5,0.0,0.0,berta,2026-02-10
hacienda,2.5,0.5,0.0,0.0,cesar,2023-11-01
paraiso,2.0,0.0,0.0,0.0,edgar,2023-12-22
cactus,1.5,0.0,0.0,0.0,berta,2022-12-07
hacienda,3.0,0.5,0.0,0.0,german,2021-11-05
paraiso,6.5,0.0,0.0,0.0,arturo,2020-12-17
pastora,5.0,0.5,0.0,0.0,german,2023-01-26
juarez_norte,14.0,0.0,0.0,0.0,,2021-10-18
pastora,4.5,6.0,0.0,0.0,,2022-02-22
socorro,6.0,3.5,0.0,0.0,diana,2023-05-09
issste_s,16.5,0.0,0.0,0.0,arturo,2023-01-07
estrella,7.5,1.5,0.0,0.0,german,2021-07-17
remedios,14.5,1.5,0.0,0.0,diana,2025-01-22
marta,9.5,0.0,0.0,0.0,,2021-09-13
chayo,14.0,0.0,0.0,0.0,flor,2023-09-02
dona_mary,7.0,0.0,0.0,0.0,,2023-03-29
ciruela,4.5,1.0,0.0,0.0,,2022-09-22
arroyo,7.5,4.5,0.0,0.0,diana,2025-03-05
remedios,21.0,0.0,0.0,0.0,,2021-11-13
clinica_central,7.5,0.0,0.0,0.0,,2023-08-31
dona_mary,5.5,0.0,0.0,0.0,diana,2021-12-31
concha,6.0,2.5,0.0,0.0,berta,2025-08-12
marta,8.0,0.5,0.0,0.0,german,2024-10-12
mercadito,15.5,0.0,0.0,0.0,flor,2024-01-25
clinica_central,8.5,0.0,0.0,0.0,arturo,2021-04-22
colinas,6.5,0.0,0.0,0.0,,2026-02-24
colinas,8.0,0.0,0.0,0.0,berta,2025-03-11
amparo,4.5,0.0,0.0,0.0,diana,2022-09-19
cactus,4.0,0.5,0.0,0.0,cesar,2021-09-27
amparo,5.5,0.0,0.0,0.0,,2020-09-04
estrella,9.5,0.0,0.0,0.0,julia,2024-02-24
roberto,16.5,0.0,0.0,0.0,,2025-07-26
marta,6.0,0.0,0.0,0.0,diana,2025-02-04
lalo,15.0,0.0,0.0,0.0,cesar,2020-08-03
marta,10.0,0.0,0.0,0.0,hilda,2024-01-11
arroyo,17.0,1.5,0.0,0.0,arturo,2024-07-10
ciruela,5.0,0.0,0.0,0.0,german,2022-11-19
leonor,4.0,0.0,0.0,0.0,,2024-12-04
colinas,6.0,0.0,0.0,0.0,berta,2021-01-01
ancla,5.5,0.0,0.0,0.0,cesar,2023-04-10
concha,9.5,3.5,0.0,0.0,arturo,2021-05-10
arroyo,4.0,0.0,0.0,0.0,arturo,2021-07-08
arroyo,8.5,0.0,0.0,0.0,arturo,2024-01-23
ciruela,5.0,0.0,0.0,0.0,berta,2024-10-03
estrella,15.0,0.5,0.0,0.0,,2024-05-30
lalo,12.0,0.0,0.0,0.0,julia,2021-04-05
arroyo,6.5,0.0,0.0,0.0,,2024-02-22
marta,11.0,0.0,0.0,0.0,,2023-05-11
ciruela,8.0,0.5,0.0,0.0,,2020-07-15
tito,4.5,0.0,0.0,0.0,diana,2024-03-09
arroyo,7.0,0.0,0.0,0.0,berta,2021-01-14
tito,5.0,0.0,0.0,0.0,cesar,2023-08-23
escalera,10.5,1.0,0.0,0.0,cesar,2023-03-06
colinas,5.5,1.5,0.0,0.0,german,2022-04-25
estrella,6.5,0.5,0.0,0.0,flor,2024-12-17
gordillo,6.0,0.5,0.0,0.0,flor,2023-11-25
juarez_norte,13.5,0.0,0.0,0.0,berta,2021-09-27
lalo,16.5,4.5,0.0,0.0,,2025-03-26
patricia,3.5,1.5,0.0,0.0,julia,2024-11-28
estrella,13.0,0.0,0.0,0.0,arturo,2020-07-29
escalera,9.0,2.5,0.0,0.0,hilda,2021-05-14
xavier,6.5,0.0,0.0,0.0,,2024-11-20
clinica_central,1.0,1.0,0.0,0.0,berta,2021-02-02
ciruela,3.0,0.5,0.0,0.0,,2025-11-15
ancla,3.5,0.5,0.0,0.0,diana,2021-01-16
lalo,17.5,0.0,0.0,0.0,berta,2022-06-02
roja_2,2.0,0.5,0.0,0.0,edgar,2021-09-03
colinas,7.5,3.0,0.0,0.0,arturo,2023-02-18
marta,5.0,0.0,0.0,0.0,ivan,2022-10-18
chayo,8.5,0.0,0.0,0.0,german,2021-12-02
tito,8.5,0.0,0.0,0.0,,2023-01-19
hacienda,3.5,1.5,0.0,0.0,cesar,2025-11-05
patricia,6.0,0.0,0.0,0.0,,2023-05-27
escalera,6.5,0.0,0.0,0.0,,2024-05-11
tito,7.0,0.0,0.0,0.0,,2022-05-02
patricia,2.5,0.0,0.0,7.0,,2023-01-05
roberto,40.5,0.0,0.0,0.0,german,2024-04-08
arroyo,3.0,0.0,0.0,0.0,berta,2024-06-08
villa_real,3.5,2.5,0.0,0.0,german,2021-05-29
patricia,5.0,0.0,0.0,0.0,,2025-01-28
gordillo,8.0,0.5,0.0,0.0,hilda,2021-05-29
arroyo,10.5,0.0,0.0,0.0,ivan,2024-11-11
patricia,6.0,3.0,0.0,0.0,,2022-01-29
estrella,9.5,0.0,0.0,0.0,arturo,2023-08-09
ciruela,6.5,5.0,0.0,0.0,arturo,2024-07-29
tequileria,6.0,0.0,0.0,0.0,cesar,2022-04-25
escalera,10.0,3.0,0.0,0.0,,2023-03-15
bibi,15.0,1.5,0.0,0.0,flor,2024-01-20
estrella,14.5,0.0,0.0,0.0,edgar,2023-01-05
amparo,4.0,2.5,0.0,0.0,,2022-03-10
tito,7.0,3.0,0.0,0.0,,2021-11-20
roja_2,3.0,2.0,0.0,0.0,,2024-03-23
ciruela,6.5,2.0,0.0,0.0,cesar,2025-02-05
cactus,3.5,0.0,0.0,0.0,julia,2020-09-28
escalera,7.0,0.0,0.0,0.0,berta,2022-05-16
concha,6.5,0.0,0.0,0.0,diana,2022-01-07
ciruela,6.5,1.0,0.0,0.0,,2024-07-13
concha,6.5,0.0,0.0,0.0,edgar,2021-02-03
chayo,4.5,0.0,0.0,0.0,,2022-09-08
remedios,14.5,0.0,0.0,0.0,,2022-01-24
xavier,3.5,0.0,0.0,0.0,berta,2025-01-04
marta,8.5,0.0,0.0,0.0,arturo,2021-08-10
pastora,4.0,0.0,0.0,0.0,edgar,2022-05-16
amparo,6.5,0.5,0.0,0.0,berta,2022-06-15
cristina,5.0,0.0,0.0,0.0,edgar,2025-10-23
colinas,7.5,3.0,0.0,0.0,karla,2026-01-24
juarez_norte,4.5,0.0,0.0,0.0,,2023-03-01
leonor,5.0,0.0,0.0,0.0,edgar,2025-09-27
tito,6.0,1.0,0.0,0.0,cesar,2025-05-26
estrella,7.0,0.0,0.0,0.0,german,2020-07-31
estrella,6.5,0.0,0.0,0.0,,2022-01-06
tito,7.0,0.0,0.0,0.0,berta,2023-04-06
leonor,4.0,0.0,0.0,0.0,,2022-09-22
fausto,3.0,0.0,0.0,0.0,arturo,2021-09-29
mercadito,8.0,1.5,0.0,0.0,,2023-12-22
gordillo,8.0,1.5,0.0,0.0,berta,2021-06-09
socorro,4.5,0.0,0.0,0.0,cesar,2022-04-09
patricia,1.5,0.0,0.0,0.0,cesar,2022-04-01
marta,7.0,0.0,0.0,0.0,diana,2025-08-05
remedios,17.0,0.0,0.0,0.0,edgar,2024-03-04
clinica_central,4.0,0.0,0.0,0.0,flor,2024-05-13
villa_real,15.0,0.0,0.0,0.0,diana,2023-06-14
paraiso,3.5,5.0,0.0,0.0,edgar,2024-10-17
marta,5.5,0.0,0.0,0.0,berta,2021-05-13
herreria,6.0,0.0,0.0,0.0,cesar,2020-09-16
leonor,6.0,1.5,0.0,0.0,diana,2025-04-25
lalo,20.0,0.0,0.0,0.0,,2025-03-10
cactus,5.0,0.0,0.0,0.0,,2022-01-06
pastora,5.0,0.0,0.0,0.0,arturo,2022-12-01
escalera,7.0,0.0,0.0,0.0,arturo,2024-02-12
roja_2,5.5,0.0,0.0,0.0,,2025-02-06
villa_real,1.5,0.0,0.0,0.0,cesar,2022-05-11
lalo,15.0,0.0,0.0,0.0,hilda,2021-10-04
bibi,7.5,0.5,0.0,0.0,marcos,2025-10-24
paraiso,2.5,0.0,0.0,0.0,hilda,2022-10-05
concha,6.0,0.0,0.0,0.0,edgar,2023-11-22
bibi,23.5,1.0,0.0,0.0,flor,2025-07-09
tequileria,9.5,1.0,0.0,0.0,,2026-02-25
arroyo,11.0,2.5,0.0,0.0,diana,2021-05-26
colinas,7.5,0.0,0.0,0.0,,2025-06-20
bibi,0.5,0.0,0.0,0.0,,2022-11-17
arroyo,14.5,0.0,0.0,0.0,ivan,2020-09-04
lalo,20.0,0.0,0.0,0.0,arturo,2023-07-12
gordillo,13.5,0.0,0.0,0.0,berta,2022-01-26
lalo,9.5,0.0,0.0,0.0,arturo,2021-04-20
paraiso,7.0,0.0,0.0,0.0,edgar,2025-02-26
juarez_norte,7.5,0.0,0.0,0.0,julia,2021-02-09
marta,4.5,0.0,0.0,0.0,,2022-08-10
estrella,13.0,0.0,0.0,0.0,ivan,2020-09-07
escalera,6.5,0.5,0.0,0.0,cesar,2025-11-13
concha,13.5,0.0,0.0,0.0,diana,2025-09-15
villa_real,3.0,0.0,0.0,0.0,german,2021-03-02
clinica_central,36.0,0.5,0.0,0.0,,2021-02-01
chayo,7.5,0.0,0.0,0.0,arturo,2023-12-04
socorro,5.0,0.0,0.0,0.0,,2021-04-06
bibi,16.5,0.0,0.0,0.0,diana,2023-07-13
amparo,3.0,1.0,0.0,0.0,arturo,2023-06-10
remedios,11.5,0.0,0.0,0.0,arturo,2024-03-20
mercadito,9.5,0.0,0.0,0.0,german,2025-06-10
clinica_central,20.5,0.0,0.0,0.0,arturo,2020-08-26
paraiso,1.0,0.0,0.0,0.0,,2023-12-14
ancla,6.5,0.5,0.0,0.0,,2024-12-21
cactus,5.0,0.0,0.0,0.0,arturo,2020-09-21
lalo,11.0,0.0,0.0,0.0,berta,2025-11-20
escalera,6.5,0.0,0.0,0.0,arturo,2022-07-08
colinas,9.5,0.0,0.0,0.0,arturo,2025-04-30
roberto,18.5,2.5,0.0,0.0,berta,2020-07-10
socorro,3.0,0.0,0.0,0.0,edgar,2025-12-24
patricia,1.0,7.5,0.0,0.0,,2025-04-21
tito,6.5,4.0,0.0,0.0,flor,2023-11-06
hacienda,1.5,4.0,0.0,0.0,berta,2021-11-04
patricia,6.5,0.0,0.0,0.0,ivan,2024-10-14
xavier,6.5,0.0,0.0,0.0,berta,2020-07-13
patricia,4.0,0.0,0.0,0.0,berta,2026-02-11
ancla,2.5,0.0,0.0,0.0,edgar,2023-05-26
concha,8.5,0.0,0.0,0.0,arturo,2024-11-12
clinica_central,5.5,9.5,0.0,0.0,edgar,2023-08-14
xavier,8.0,1.5,0.0,0.0,,2020-12-08
fausto,3.5,0.0,0.0,0.0,flor,2021-07-26
concha,6.5,0.0,0.0,0.0,,2022-01-27
paraiso,8.5,0.0,0.0,0.0,arturo,2026-01-09
concha,8.0,0.0,0.0,0.0,,2022-09-24
escalera,12.0,3.5,0.0,0.0,,2024-07-23
roja_2,3.0,0.0,0.0,0.0,,2025-03-29
fausto,4.5,0.0,0.0,0.0,arturo,2023-01-30
roja_2,2.5,0.0,0.0,0.0,,2021-12-16
arroyo,9.0,0.0,0.0,0.0,,2023-10-12
patricia,8.5,0.0,0.0,0.0,,2023-11-27
roberto,13.0,0.0,0.0,0.0,arturo,2024-06-01
ancla,4.0,0.0,0.0,0.0,arturo,2025-07-26
roberto,11.5,0.0,0.0,0.0,arturo,2025-03-08
amparo,3.5,0.0,0.0,0.0,berta,2024-04-20
remedios,13.0,0.0,0.0,0.0,berta,2023-04-11
marta,9.0,0.5,0.0,0.0,berta,2024-05-03
gordillo,4.0,6.0,0.0,0.0,arturo,2025-01-18
chayo,3.5,0.0,0.0,0.0,flor,2023-03-24
ciruela,4.5,0.0,0.0,0.0,arturo,2021-05-21
paraiso,2.0,0.0,0.0,0.0,hilda,2023-09-28
patricia,6.0,0.0,0.0,0.0,cesar,2021-02-18
hacienda,0.5,0.0,0.0,0.0,berta,2021-09-22
estrella,9.0,0.5,0.0,0.0,arturo,2021-02-15
mariela,12.5,0.0,0.0,0.0,,2025-04-22
amparo,4.0,2.5,0.0,0.0,arturo,2020-10-15
lalo,30.5,0.0,0.0,0.0,,2024-05-20
lalo,14.5,1.0,0.0,0.0,cesar,2024-03-20
leonor,8.5,0.5,0.0,0.0,berta,2025-05-31
paraiso,3.0,4.5,0.0,0.0,arturo,2023-08-09
cactus,5.0,0.0,0.0,0.0,arturo,2025-08-02
marta,4.0,8.0,0.0,0.0,arturo,2022-07-18
cactus,5.5,0.0,0.0,0.0,diana,2024-03-29
mariela,11.5,1.5,0.0,0.0,julia,2022-11-04
socorro,2.5,3.5,0.0,0.0,,2024-07-27
clinica_central,9.0,0.0,0.0,0.0,arturo,2022-11-30
marta,5.0,0.0,0.0,0.0,arturo,2022-11-01
issste_s,4.0,0.0,0.0,0.0,,2021-03-11
ciruela,5.0,0.0,0.0,0.0,,2020-11-13
socorro,7.5,2.5,0.0,0.0,berta,2022-03-12
patricia,4.0,0.0,0.0,0.0,,2023-10-19
escalera,6.0,1.0,0.0,0.0,,2023-11-06
concha,5.0,0.0,0.0,0.0,diana,2023-07-24
amparo,4.5,0.0,0.0,0.0,berta,2020-07-18
tito,4.0,0.0,0.0,0.0,cesar,2022-09-12
remedios,16.0,0.0,0.0,0.0,flor,2021-12-13
socorro,4.0,4.0,0.0,0.0,flor,2021-07-03
villa_real,2.5,0.5,0.0,0.0,berta,2023-07-11
gordillo,7.0,0.0,0.0,0.0,arturo,2025-02-15
lalo,10.0,0.0,0.0,0.0,cesar,2022-11-08
estrella,14.5,0.0,0.0,0.0,berta,2023-12-08
cristina,5.5,2.0,0.0,0.0,edgar,2020-10-23
ciruela,4.5,0.0,0.0,0.0,,2020-07-29
ancla,4.5,0.0,0.0,0.0,arturo,2026-01-20
roberto,16.5,0.0,0.0,0.0,berta,2023-11-21
estrella,6.0,4.5,0.0,0.0,,2024-09-05
leonor,6.5,0.0,0.0,0.0,,2023-02-20
bibi,4.0,0.5,0.0,0.0,diana,2022-06-27
socorro,4.0,0.0,0.0,0.0,cesar,2020-12-07
colinas,7.5,0.0,0.0,0.0,berta,2023-04-22
bibi,3.0,0.0,0.0,0.0,,2021-12-23
escalera,8.0,0.0,0.0,0.0,edgar,2024-12-25
juarez_norte,19.5,0.0,0.0,0.0,diana,2025-11-11
roberto,14.5,0.0,0.0,0.0,edgar,2020-07-27
tito,7.5,0.0,0.0,0.0,arturo,2024-04-09
estrella,18.0,1.0,0.0,0.0,arturo,2023-08-03
remedios,14.0,0.0,0.0,0.0,hilda,2023-06-22
lalo,32.5,0.0,0.0,0.0,arturo,2022-06-02
socorro,2.5,0.0,0.0,0.0,flor,2024-05-07
escalera,9.0,0.0,0.0,0.0,diana,2020-08-28
chayo,9.0,0.0,0.0,0.0,cesar,2025-01-28
ciruela,5.5,0.0,0.0,0.0,cesar,2022-01-03
ciruela,6.5,0.0,0.0,0.0,,2021-05-04
villa_real,6.5,0.0,0.0,0.0,edgar,2022-05-11
amparo,4.0,0.0,0.0,0.0,edgar,2020-10-08
chakas,4.5,0.5,0.0,0.0,edgar,2024-09-04
ancla,7.5,0.0,0.0,0.0,arturo,2024-07-01
mariela,13.0,0.0,0.0,0.0,arturo,2021-03-18
remedios,13.0,0.0,0.0,0.0,,2025-09-15
hacienda,2.5,0.0,0.0,0.0,arturo,2024-07-30
amparo,3.5,0.0,0.0,0.0,arturo,2021-09-02
cactus,9.5,0.0,0.0,0.0,edgar,2020-10-15
amparo,5.0,0.5,0.0,0.0,,2020-07-11
remedios,9.5,0.0,0.0,0.0,arturo,2024-08-10
colinas,6.0,0.0,0.0,0.0,,2024-10-11
herreria,4.0,0.0,0.0,0.0,berta,2020-09-17
concha,5.5,0.0,0.0,0.0,,2020-10-17
marta,10.0,0.0,0.0,0.0,,2024-04-15
lalo,13.5,0.0,0.0,0.0,german,2021-06-09
socorro,5.0,0.0,0.0,0.0,,2021-11-10
escalera,9.5,0.0,0.0,0.0,,2022-06-06
paraiso,2.0,1.0,0.0,0.0,cesar,2023-09-22
bibi,33.0,0.0,0.0,0.0,arturo,2022-12-22
ciruela,5.5,0.0,0.0,0.0,,2025-02-27
roja_2,1.5,1.5,0.0,0.0,,2020-11-20
mercadito,6.5,0.5,0.0,0.0,,2025-09-15
villa_real,14.0,0.0,0.0,0.0,berta,2022-09-06
cactus,4.5,0.0,0.0,0.0,,2023-12-15
villa_real,5.5,1.5,0.0,0.0,cesar,2025-05-06
juarez_norte,12.5,1.0,0.0,0.0,,2023-09-11
colinas,5.0,0.0,0.0,0.0,cesar,2021-04-02
roja_2,1.5,0.0,0.0,0.0,,2024-12-16
villa_real,2.5,0.0,0.0,0.0,edgar,2020-07-22
gordillo,3.0,0.0,0.0,0.0,arturo,2023-07-07
amparo,4.5,0.0,0.0,0.0,flor,2025-07-21
mercadito,9.5,0.5,0.0,0.0,,2020-09-16
amparo,4.0,0.0,0.0,0.0,german,2022-03-10
issste_s,1.5,0.0,0.0,0.0,,2021-10-29
tito,8.5,0.0,0.0,0.0,cesar,2025-07-16
tito,6.0,0.0,0.0,0.0,leo,2022-07-01
chayo,5.5,0.0,0.0,0.0,,2024-04-16
concha,9.0,1.5,0.0,0.0,flor,2024-05-20
mercadito,8.5,0.0,0.0,0.0,karla,2022-04-20
marta,5.5,0.0,0.0,0.0,,2024-06-11
marta,19.5,0.0,0.0,0.0,,2021-02-19
ciruela,8.5,0.0,0.0,0.0,,2022-12-10
mercadito,14.0,4.0,0.0,0.0,hilda,2023-09-27
remedios,13.5,0.0,0.0,0.0,arturo,2023-02-16
marta,11.0,1.0,0.0,0.0,berta,2020-08-26
mariela,11.5,0.0,0.0,0.0,berta,2025-01-07
estrella,13.5,0.0,0.0,0.0,arturo,2021-10-18
roberto,30.0,0.0,0.0,0.0,flor,2023-05-18
concha,12.5,0.0,0.0,0.0,berta,2025-01-13
paraiso,4.0,0.0,0.0,0.0,,2022-02-25
roja_2,1.5,0.0,0.0,0.0,german,2021-10-13
colinas,4.5,0.0,0.0,0.0,diana,2021-02-10
socorro,3.5,0.5,0.0,0.0,diana,2024-07-16
estrella,13.0,0.0,0.0,0.0,,2020-08-03
remedios,13.5,1.0,0.0,0.0,,2022-10-04
concha,5.5,0.5,0.0,0.0,ivan,2021-08-21
xavier,3.5,0.5,0.0,4.0,german,2023-04-24
xavier,7.0,0.0,0.0,0.0,flor,2024-08-08
dona_mary,8.0,0.0,0.0,0.0,arturo,2024-12-17
estrella,16.0,0.0,0.0,0.0,cesar,2025-12-15
cactus,3.5,0.0,0.0,0.0,arturo,2023-06-14
concha,12.0,6.0,0.0,0.0,german,2022-09-19
arroyo,4.5,2.5,0.0,0.0,julia,2024-09-17
tito,5.0,1.0,0.0,0.0,cesar,2021-12-20
paraiso,5.5,0.5,0.0,0.0,,2020-09-12
remedios,12.0,0.5,0.0,0.0,,2021-05-11
lalo,6.0,0.0,0.0,0.0,diana,2024-02-05
chakas,4.0,0.0,0.0,0.0,berta,2021-01-30
socorro,3.0,0.0,0.0,0.0,berta,2023-05-30
mercadito,5.5,0.5,0.0,0.0,,2025-07-11
fausto,4.5,0.0,0.0,0.0,diana,2025-01-01
dona_mary,9.5,0.5,0.0,0.0,arturo,2022-04-27
lalo,17.5,0.0,0.0,0.0,,2024-02-17
issste_s,13.5,0.0,0.0,0.0,,2026-01-29
tito,6.5,2.0,0.0,0.0,,2025-05-20
marta,9.0,2.5,0.0,0.0,,2020-10-19
dona_mary,7.5,1.0,0.0,0.0,arturo,2023-03-11
marta,4.0,0.0,0.0,0.0,german,2023-06-24
estrella,7.0,0.0,0.0,0.0,german,2022-07-22
issste_s,4.5,1.0,0.0,0.0,cesar,2023-11-02
arroyo,8.0,0.0,0.0,0.0,,2025-07-15
lalo,14.5,0.0,0.0,0.0,,2025-10-03
remedios,7.5,0.0,0.0,0.0,diana,2020-08-14
roberto,24.0,0.0,0.0,0.0,hilda,2020-10-03
leonor,5.5,1.0,0.0,0.0,berta,2024-03-18
marta,5.0,2.0,0.0,0.0,cesar,2021-01-20
mercadito,9.0,0.0,0.0,0.0,berta,2023-03-30
juarez_norte,3.5,0.0,0.0,0.0,arturo,2025-02-20
concha,10.5,0.0,0.0,0.0,diana,2025-03-14
herreria,8.5,0.0,0.0,0.0,ivan,2024-08-21
colinas,7.0,0.0,0.0,0.0,,2022-12-23
estrella,11.5,0.5,0.0,0.0,flor,2022-06-07
concha,7.5,0.0,0.0,0.0,arturo,2022-11-08
estrella,10.5,0.0,0.0,0.0,,2023-12-22
clinica_central,1.0,0.5,0.0,0.0,julia,2025-06-14
clinica_central,11.5,0.5,0.0,0.0,,2023-08-17
roja_2,2.5,0.0,0.0,0.0,,2022-01-14
mercadito,9.0,1.0,0.0,0.0,,2022-07-02
