,cliente_id,entrega,devolucion,repartidor_id,mes,estacion,año,dia_mes,dia_sem,demanda_neta
44,3,8.5,0.0,6,11,4,2024,22,5,8.5
45,6,18.5,4.5,6,5,2,2025,30,5,14.0
46,12,3.0,0.0,2,1,1,2026,5,1,3.0
47,16,12.5,0.0,2,12,1,2025,10,3,12.5
48,3,7.0,0.0,6,3,2,2023,13,1,7.0
49,23,6.0,1.5,1,10,4,2024,8,2,4.5
50,19,0.5,0.0,2,5,2,2021,29,6,0.5
51,11,5.5,0.0,10,3,2,2021,20,6,5.5
52,10,6.5,0.0,6,5,2,2022,20,5,6.5
53,3,5.0,0.0,1,11,4,2025,22,6,5.0
54,8,10.5,0.0,2,7,3,2021,26,1,10.5
55,1,4.0,0.0,1,2,1,2021,2,2,4.0
56,3,5.5,0.5,1,10,4,2020,23,5,5.0
57,23,7.0,0.0,2,12,1,2021,3,5,7.0
58,19,3.0,0.0,0,1,1,2023,4,3,3.0
59,0,16.0,0.0,9,6,3,2022,17,5,16.0
60,24,4.5,4.0,6,12,1,2025,11,4,0.5
61,10,4.0,0.0,1,12,1,2022,3,6,4.0
62,25,9.0,1.5,8,3,2,2021,24,3,7.5
63,12,3.0,1.0,1,4,2,2023,1,6,2.0
64,4,13.0,0.0,10,1,1,2023,11,3,13.0
65,8,11.0,2.5,2,3,2,2024,4,1,8.5
66,19,0.5,0.0,9,12,1,2025,19,5,0.5
67,26,5.0,0.0,6,12,1,2024,27,5,5.0
68,27,2.0,0.0,1,12,1,2025,6,6,2.0
69,2,1.5,1.0,2,9,4,2022,20,2,0.5
70,21,7.5,0.0,2,10,4,2021,9,6,7.5
71,7,12.5,0.0,2,9,4,2024,4,3,12.5
72,28,5.5,0.0,2,9,4,2025,24,3,5.5
73,20,6.0,0.5,11,1,1,2021,6,3,5.5
74,11,2.0,2.0,2,8,3,2023,30,3,0.0
75,29,11.5,0.0,0,8,3,2021,5,4,11.5
76,20,7.0,0.5,1,3,2,2024,25,1,6.5
77,6,14.0,0.0,9,11,4,2025,14,5,14.0
78,1,5.5,0.0,3,5,2,2021,19,3,5.5
79,15,5.0,0.0,4,3,2,2025,18,2,5.0
80,20,5.5,0.0,2,6,3,2023,7,3,5.5
81,18,14.5,0.0,1,4,2,2022,12,2,14.5
82,2,3.0,0.0,8,5,2,2025,16,5,3.0
83,30,5.0,2.5,0,11,4,2025,22,6,2.5
84,21,10.0,0.0,6,12,1,2020,26,6,10.0
85,6,8.0,0.5,9,11,4,2022,8,2,7.5
86,6,14.0,2.0,3,6,3,2023,10,6,12.0
87,17,3.5,0.0,1,11,4,2023,8,3,3.5
88,8,9.5,0.0,1,8,3,2020,14,5,9.5
89,4,13.0,0.0,1,11,4,2020,11,3,13.0
90,5,2.0,0.0,0,6,3,2023,3,6,2.0
91,0,8.0,0.0,4,7,3,2021,17,6,8.0
92,31,2.0,1.0,1,4,2,2021,10,6,1.0
93,32,8.0,0.0,10,5,2,2024,18,6,8.0
94,1,6.5,0.0,4,12,1,2024,6,5,6.5
95,22,11.5,0.0,2,2,1,2026,17,2,11.5
96,8,15.5,0.0,10,8,3,2024,23,5,15.5
97,21,1.0,3.5,6,3,2,2021,31,3,-2.5
98,22,6.5,0.0,0,11,4,2022,12,6,6.5
99,1,4.0,0.0,1,6,3,2024,12,3,4.0
100,12,3.5,0.5,1,10,4,2021,29,5,3.0
101,0,12.5,0.0,1,6,3,2023,26,1,12.5
102,10,5.5,0.0,2,1,1,2022,19,3,5.5
103,7,2.0,0.0,6,9,4,2023,20,3,2.0
104,18,9.5,1.0,6,12,1,2022,8,4,8.5
105,17,7.5,0.0,10,1,1,2025,27,1,7.5
106,0,19.0,0.0,5,2,1,2022,16,3,19.0
107,1,3.5,0.0,8,10,4,2022,18,2,3.5
108,5,5.0,1.0,1,4,2,2024,17,3,4.0
109,25,2.0,2.5,11,10,4,2024,21,1,-0.5
110,0,9.5,0.0,1,1,1,2023,20,5,9.5
111,4,8.0,0.0,2,8,3,2025,16,6,8.0
112,7,6.0,1.5,2,1,1,2023,17,2,4.5
113,33,13.0,0.0,1,9,4,2024,3,2,13.0
114,7,8.5,0.0,8,5,2,2023,30,2,8.5
115,30,5.0,1.0,0,7,3,2020,17,5,4.0
116,28,4.5,0.5,2,2,1,2026,10,2,4.0
117,32,2.5,0.5,10,11,4,2023,1,3,2.0
118,2,2.0,0.0,9,12,1,2023,22,5,2.0
119,9,1.5,0.0,2,12,1,2022,7,3,1.5
120,32,3.0,0.5,8,11,4,2021,5,5,2.5
121,2,6.5,0.0,6,12,1,2020,17,4,6.5
122,28,5.0,0.5,8,1,1,2023,26,4,4.5
123,24,14.0,0.0,1,10,4,2021,18,1,14.0
124,28,4.5,6.0,1,2,1,2022,22,2,-1.5
125,11,6.0,3.5,0,5,2,2023,9,2,2.5
126,34,16.5,0.0,6,1,1,2023,7,6,16.5
127,8,7.5,1.5,8,7,3,2021,17,6,6.0
128,16,14.5,1.5,0,1,1,2025,22,3,13.0
129,6,9.5,0.0,1,9,4,2021,13,1,9.5
130,15,14.0,0.0,4,9,4,2023,2,6,14.0
131,20,7.0,0.0,1,3,2,2023,29,3,7.0
132,10,4.5,1.0,1,9,4,2022,22,4,3.5
133,21,7.5,4.5,0,3,2,2025,5,3,3.0
134,16,21.0,0.0,1,11,4,2021,13,6,21.0
135,19,7.5,0.0,1,8,3,2023,31,4,7.5
136,20,5.5,0.0,0,12,1,2021,31,5,5.5
137,22,6.0,2.5,2,8,3,2025,12,2,3.5
138,6,8.0,0.5,8,10,4,2024,12,6,7.5
139,18,15.5,0.0,4,1,1,2024,25,4,15.5
140,19,8.5,0.0,6,4,2,2021,22,4,8.5
141,23,6.5,0.0,1,2,1,2026,24,2,6.5
142,23,8.0,0.0,2,3,2,2025,11,2,8.0
143,30,4.5,0.0,0,9,4,2022,19,1,4.5
144,9,4.0,0.5,10,9,4,2021,27,1,3.5
145,30,5.5,0.0,1,9,4,2020,4,5,5.5
146,8,9.5,0.0,11,2,1,2024,24,6,9.5
147,4,16.5,0.0,1,7,3,2025,26,6,16.5
148,6,6.0,0.0,0,2,1,2025,4,2,6.0
149,0,15.0,0.0,10,8,3,2020,3,1,15.0
150,6,10.0,0.0,3,1,1,2024,11,4,10.0
151,21,17.0,1.5,6,7,3,2024,10,3,15.5
152,10,5.0,0.0,8,11,4,2022,19,6,5.0
153,1,4.0,0.0,1,12,1,2024,4,3,4.0
154,23,6.0,0.0,2,1,1,2021,1,5,6.0
155,35,5.5,0.0,10,4,2,2023,10,1,5.5
156,22,9.5,3.5,6,5,2,2021,10,1,6.0
157,21,4.0,0.0,6,7,3,2021,8,4,4.0
158,21,8.5,0.0,6,1,1,2024,23,2,8.5
159,10,5.0,0.0,2,10,4,2024,3,4,5.0
160,8,15.0,0.5,1,5,2,2024,30,4,14.5
161,0,12.0,0.0,11,4,2,2021,5,1,12.0
162,21,6.5,0.0,1,2,1,2024,22,4,6.5
163,6,11.0,0.0,1,5,2,2023,11,4,11.0
164,10,8.0,0.5,1,7,3,2020,15,3,7.5
165,3,4.5,0.0,0,3,2,2024,9,6,4.5
166,21,7.0,0.0,2,1,1,2021,14,4,7.0
167,3,5.0,0.0,10,8,3,2023,23,3,5.0
168,13,10.5,1.0,10,3,2,2023,6,1,9.5
169,23,5.5,1.5,8,4,2,2022,25,1,4.0
170,8,6.5,0.5,4,12,1,2024,17,2,6.0
171,7,6.0,0.5,4,11,4,2023,25,6,5.5
172,24,13.5,0.0,2,9,4,2021,27,1,13.5
173,0,16.5,4.5,1,3,2,2025,26,3,12.0
174,5,3.5,1.5,11,11,4,2024,28,4,2.0
175,8,13.0,0.0,6,7,3,2020,29,3,13.0
176,13,9.0,2.5,3,5,2,2021,14,5,6.5
177,17,6.5,0.0,1,11,4,2024,20,3,6.5
178,19,1.0,1.0,2,2,1,2021,2,2,0.0
179,10,3.0,0.5,1,11,4,2025,15,6,2.5
180,35,3.5,0.5,0,1,1,2021,16,6,3.0
181,0,17.5,0.0,2,6,3,2022,2,4,17.5
182,12,2.0,0.5,9,9,4,2021,3,5,1.5
183,23,7.5,3.0,6,2,1,2023,18,6,4.5
184,6,5.0,0.0,5,10,4,2022,18,2,5.0
185,15,8.5,0.0,8,12,1,2021,2,4,8.5
186,3,8.5,0.0,1,1,1,2023,19,4,8.5
187,32,3.5,1.5,10,11,4,2025,5,3,2.0
188,5,6.0,0.0,1,5,2,2023,27,6,6.0
189,13,6.5,0.0,1,5,2,2024,11,6,6.5
190,3,7.0,0.0,1,5,2,2022,2,1,7.0
191,5,2.5,0.0,1,1,1,2023,5,4,2.5
192,4,40.5,0.0,8,4,2,2024,8,1,40.5
193,21,3.0,0.0,2,6,3,2024,8,6,3.0
194,26,3.5,2.5,8,5,2,2021,29,6,1.0
195,5,5.0,0.0,1,1,1,2025,28,2,5.0
196,7,8.0,0.5,3,5,2,2021,29,6,7.5
197,21,10.5,0.0,5,11,4,2024,11,1,10.5
198,5,6.0,3.0,1,1,1,2022,29,6,3.0
199,8,9.5,0.0,6,8,3,2023,9,3,9.5
200,10,6.5,5.0,6,7,3,2024,29,1,1.5
201,25,6.0,0.0,10,4,2,2022,25,1,6.0
202,13,10.0,3.0,1,3,2,2023,15,3,7.0
203,33,15.0,1.5,4,1,1,2024,20,6,13.5
204,8,14.5,0.0,9,1,1,2023,5,4,14.5
205,30,4.0,2.5,1,3,2,2022,10,4,1.5
206,3,7.0,3.0,1,11,4,2021,20,6,4.0
207,12,3.0,2.0,1,3,2,2024,23,6,1.0
208,10,6.5,2.0,10,2,1,2025,5,3,4.5
209,9,3.5,0.0,11,9,4,2020,28,1,3.5
210,13,7.0,0.0,2,5,2,2022,16,1,7.0
211,22,6.5,0.0,0,1,1,2022,7,5,6.5
212,10,6.5,1.0,1,7,3,2024,13,6,5.5
213,22,6.5,0.0,9,2,1,2021,3,3,6.5
214,15,4.5,0.0,1,9,4,2022,8,4,4.5
215,16,14.5,0.0,1,1,1,2022,24,1,14.5
216,17,3.5,0.0,2,1,1,2025,4,6,3.5
217,6,8.5,0.0,6,8,3,2021,10,2,8.5
218,28,4.0,0.0,9,5,2,2022,16,1,4.0
219,30,6.5,0.5,2,6,3,2022,15,3,6.0
220,14,5.0,0.0,9,10,4,2025,23,4,5.0
221,23,7.5,3.0,12,1,1,2026,24,6,4.5
222,24,4.5,0.0,1,3,2,2023,1,3,4.5
223,1,5.0,0.0,9,9,4,2025,27,6,5.0
224,3,6.0,1.0,10,5,2,2025,26,1,5.0
225,8,7.0,0.0,8,7,3,2020,31,5,7.0
226,8,6.5,0.0,1,1,1,2022,6,4,6.5
227,3,7.0,0.0,2,4,2,2023,6,4,7.0
228,1,4.0,0.0,1,9,4,2022,22,4,4.0
229,36,3.0,0.0,6,9,4,2021,29,3,3.0
230,18,8.0,1.5,1,12,1,2023,22,5,6.5
231,7,8.0,1.5,2,6,3,2021,9,3,6.5
232,11,4.5,0.0,10,4,2,2022,9,6,4.5
233,5,1.5,0.0,10,4,2,2022,1,5,1.5
234,6,7.0,0.0,0,8,3,2025,5,2,7.0
235,16,17.0,0.0,9,3,2,2024,4,1,17.0
236,19,4.0,0.0,4,5,2,2024,13,1,4.0
237,26,15.0,0.0,0,6,3,2023,14,3,15.0
238,2,3.5,5.0,9,10,4,2024,17,4,-1.5
239,6,5.5,0.0,2,5,2,2021,13,4,5.5
240,37,6.0,0.0,10,9,4,2020,16,3,6.0
241,1,6.0,1.5,0,4,2,2025,25,5,4.5
242,0,20.0,0.0,1,3,2,2025,10,1,20.0
243,9,5.0,0.0,1,1,1,2022,6,4,5.0
244,28,5.0,0.0,6,12,1,2022,1,4,5.0
245,13,7.0,0.0,6,2,1,2024,12,1,7.0
246,12,5.5,0.0,1,2,1,2025,6,4,5.5
247,26,1.5,0.0,10,5,2,2022,11,3,1.5
248,0,15.0,0.0,3,10,4,2021,4,1,15.0
249,33,7.5,0.5,13,10,4,2025,24,5,7.0
250,2,2.5,0.0,3,10,4,2022,5,3,2.5
251,22,6.0,0.0,9,11,4,2023,22,3,6.0
252,33,23.5,1.0,4,7,3,2025,9,3,22.5
253,25,9.5,1.0,1,2,1,2026,25,3,8.5
254,21,11.0,2.5,0,5,2,2021,26,3,8.5
255,23,7.5,0.0,1,6,3,2025,20,5,7.5
256,33,0.5,0.0,1,11,4,2022,17,4,0.5
257,21,14.5,0.0,5,9,4,2020,4,5,14.5
258,0,20.0,0.0,6,7,3,2023,12,3,20.0
259,7,13.5,0.0,2,1,1,2022,26,3,13.5
260,0,9.5,0.0,6,4,2,2021,20,2,9.5
261,2,7.0,0.0,9,2,1,2025,26,3,7.0
262,24,7.5,0.0,11,2,1,2021,9,2,7.5
263,6,4.5,0.0,1,8,3,2022,10,3,4.5
264,8,13.0,0.0,5,9,4,2020,7,1,13.0
265,13,6.5,0.5,10,11,4,2025,13,4,6.0
266,22,13.5,0.0,0,9,4,2025,15,1,13.5
267,26,3.0,0.0,8,3,2,2021,2,2,3.0
268,19,36.0,0.5,1,2,1,2021,1,1,35.5
269,15,7.5,0.0,6,12,1,2023,4,1,7.5
270,11,5.0,0.0,1,4,2,2021,6,2,5.0
271,33,16.5,0.0,0,7,3,2023,13,4,16.5
272,30,3.0,1.0,6,6,3,2023,10,6,2.0
273,16,11.5,0.0,6,3,2,2024,20,3,11.5
274,18,9.5,0.0,8,6,3,2025,10,2,9.5
275,19,20.5,0.0,6,8,3,2020,26,3,20.5
276,2,1.0,0.0,1,12,1,2023,14,4,1.0
277,35,6.5,0.5,1,12,1,2024,21,6,6.0
278,9,5.0,0.0,6,9,4,2020,21,1,5.0
279,0,11.0,0.0,2,11,4,2025,20,4,11.0
280,13,6.5,0.0,6,7,3,2022,8,5,6.5
281,23,9.5,0.0,6,4,2,2025,30,3,9.5
282,4,18.5,2.5,2,7,3,2020,10,5,16.0
283,11,3.0,0.0,9,12,1,2025,24,3,3.0
284,5,1.0,7.5,1,4,2,2025,21,1,-6.5
285,3,6.5,4.0,4,11,4,2023,6,1,2.5
286,32,1.5,4.0,2,11,4,2021,4,4,-2.5
287,5,6.5,0.0,5,10,4,2024,14,1,6.5
288,17,6.5,0.0,2,7,3,2020,13,1,6.5
289,5,4.0,0.0,2,2,1,2026,11,3,4.0
290,35,2.5,0.0,9,5,2,2023,26,5,2.5
291,22,8.5,0.0,6,11,4,2024,12,2,8.5
292,19,5.5,9.5,9,8,3,2023,14,1,-4.0
293,17,8.0,1.5,1,12,1,2020,8,2,6.5
294,36,3.5,0.0,4,7,3,2021,26,1,3.5
295,22,6.5,0.0,1,1,1,2022,27,4,6.5
296,2,8.5,0.0,6,1,1,2026,9,5,8.5
297,22,8.0,0.0,1,9,4,2022,24,6,8.0
298,13,12.0,3.5,1,7,3,2024,23,2,8.5
299,12,3.0,0.0,1,3,2,2025,29,6,3.0
300,36,4.5,0.0,6,1,1,2023,30,1,4.5
301,12,2.5,0.0,1,12,1,2021,16,4,2.5
302,21,9.0,0.0,1,10,4,2023,12,4,9.0
303,5,8.5,0.0,1,11,4,2023,27,1,8.5
304,4,13.0,0.0,6,6,3,2024,1,6,13.0
305,35,4.0,0.0,6,7,3,2025,26,6,4.0
306,4,11.5,0.0,6,3,2,2025,8,6,11.5
307,30,3.5,0.0,2,4,2,2024,20,6,3.5
308,16,13.0,0.0,2,4,2,2023,11,2,13.0
309,6,9.0,0.5,2,5,2,2024,3,5,8.5
310,7,4.0,6.0,6,1,1,2025,18,6,-2.0
311,15,3.5,0.0,4,3,2,2023,24,5,3.5
312,10,4.5,0.0,6,5,2,2021,21,5,4.5
313,2,2.0,0.0,3,9,4,2023,28,4,2.0
314,5,6.0,0.0,10,2,1,2021,18,4,6.0
315,32,0.5,0.0,2,9,4,2021,22,3,0.5
316,8,9.0,0.5,6,2,1,2021,15,1,8.5
317,29,12.5,0.0,1,4,2,2025,22,2,12.5
318,30,4.0,2.5,6,10,4,2020,15,4,1.5
319,0,30.5,0.0,1,5,2,2024,20,1,30.5
320,0,14.5,1.0,10,3,2,2024,20,3,13.5
321,1,8.5,0.5,2,5,2,2025,31,6,8.0
322,2,3.0,4.5,6,8,3,2023,9,3,-1.5
323,9,5.0,0.0,6,8,3,2025,2,6,5.0
324,6,4.0,8.0,6,7,3,2022,18,1,-4.0
325,9,5.5,0.0,0,3,2,2024,29,5,5.5
326,29,11.5,1.5,11,11,4,2022,4,5,10.0
327,11,2.5,3.5,1,7,3,2024,27,6,-1.0
328,19,9.0,0.0,6,11,4,2022,30,3,9.0
329,6,5.0,0.0,6,11,4,2022,1,2,5.0
330,34,4.0,0.0,1,3,2,2021,11,4,4.0
331,10,5.0,0.0,1,11,4,2020,13,5,5.0
332,11,7.5,2.5,2,3,2,2022,12,6,5.0
333,5,4.0,0.0,1,10,4,2023,19,4,4.0
334,13,6.0,1.0,1,11,4,2023,6,1,5.0
335,22,5.0,0.0,0,7,3,2023,24,1,5.0
336,30,4.5,0.0,2,7,3,2020,18,6,4.5
337,3,4.0,0.0,10,9,4,2022,12,1,4.0
338,16,16.0,0.0,4,12,1,2021,13,1,16.0
339,11,4.0,4.0,4,7,3,2021,3,6,0.0
340,26,2.5,0.5,2,7,3,2023,11,2,2.0
341,7,7.0,0.0,6,2,1,2025,15,6,7.0
342,0,10.0,0.0,10,11,4,2022,8,2,10.0
343,8,14.5,0.0,2,12,1,2023,8,5,14.5
344,14,5.5,2.0,9,10,4,2020,23,5,3.5
345,10,4.5,0.0,1,7,3,2020,29,3,4.5
346,35,4.5,0.0,6,1,1,2026,20,2,4.5
347,4,16.5,0.0,2,11,4,2023,21,2,16.5
348,8,6.0,4.5,1,9,4,2024,5,4,1.5
349,1,6.5,0.0,1,2,1,2023,20,1,6.5
350,33,4.0,0.5,0,6,3,2022,27,1,3.5
351,11,4.0,0.0,10,12,1,2020,7,1,4.0
352,23,7.5,0.0,2,4,2,2023,22,6,7.5
353,33,3.0,0.0,1,12,1,2021,23,4,3.0
354,13,8.0,0.0,9,12,1,2024,25,3,8.0
355,24,19.5,0.0,0,11,4,2025,11,2,19.5
356,4,14.5,0.0,9,7,3,2020,27,1,14.5
357,3,7.5,0.0,6,4,2,2024,9,2,7.5
358,8,18.0,1.0,6,8,3,2023,3,4,17.0
359,16,14.0,0.0,3,6,3,2023,22,4,14.0
360,0,32.5,0.0,6,6,3,2022,2,4,32.5
361,11,2.5,0.0,4,5,2,2024,7,2,2.5
362,13,9.0,0.0,0,8,3,2020,28,5,9.0
363,15,9.0,0.0,10,1,1,2025,28,2,9.0
364,10,5.5,0.0,10,1,1,2022,3,1,5.5
365,10,6.5,0.0,1,5,2,2021,4,2,6.5
366,26,6.5,0.0,9,5,2,2022,11,3,6.5
367,30,4.0,0.0,9,10,4,2020,8,4,4.0
368,27,4.5,0.5,9,9,4,2024,4,3,4.0
369,35,7.5,0.0,6,7,3,2024,1,1,7.5
370,29,13.0,0.0,6,3,2,2021,18,4,13.0
371,16,13.0,0.0,1,9,4,2025,15,1,13.0
372,32,2.5,0.0,6,7,3,2024,30,2,2.5
373,30,3.5,0.0,6,9,4,2021,2,4,3.5
374,9,9.5,0.0,9,10,4,2020,15,4,9.5
375,30,5.0,0.5,1,7,3,2020,11,6,4.5
376,16,9.5,0.0,6,8,3,2024,10,6,9.5
377,23,6.0,0.0,1,10,4,2024,11,5,6.0
378,37,4.0,0.0,2,9,4,2020,17,4,4.0
379,22,5.5,0.0,1,10,4,2020,17,6,5.5
380,6,10.0,0.0,1,4,2,2024,15,1,10.0
381,0,13.5,0.0,8,6,3,2021,9,3,13.5
382,11,5.0,0.0,1,11,4,2021,10,3,5.0
383,13,9.5,0.0,1,6,3,2022,6,1,9.5
384,2,2.0,1.0,10,9,4,2023,22,5,1.0
385,33,33.0,0.0,6,12,1,2022,22,4,33.0
386,10,5.5,0.0,1,2,1,2025,27,4,5.5
387,12,1.5,1.5,1,11,4,2020,20,5,0.0
388,18,6.5,0.5,1,9,4,2025,15,1,6.0
389,26,14.0,0.0,2,9,4,2022,6,2,14.0
390,9,4.5,0.0,1,12,1,2023,15,5,4.5
391,26,5.5,1.5,10,5,2,2025,6,2,4.0
392,24,12.5,1.0,1,9,4,2023,11,1,11.5
393,23,5.0,0.0,10,4,2,2021,2,5,5.0
394,12,1.5,0.0,1,12,1,2024,16,1,1.5
395,26,2.5,0.0,9,7,3,2020,22,3,2.5
396,7,3.0,0.0,6,7,3,2023,7,5,3.0
397,30,4.5,0.0,4,7,3,2025,21,1,4.5
398,18,9.5,0.5,1,9,4,2020,16,3,9.0
399,30,4.0,0.0,8,3,2,2022,10,4,4.0
400,34,1.5,0.0,1,10,4,2021,29,5,1.5
401,3,8.5,0.0,10,7,3,2025,16,3,8.5
402,3,6.0,0.0,7,7,3,2022,1,5,6.0
403,15,5.5,0.0,1,4,2,2024,16,2,5.5
404,22,9.0,1.5,4,5,2,2024,20,1,7.5
405,18,8.5,0.0,12,4,2,2022,20,3,8.5
406,6,5.5,0.0,1,6,3,2024,11,2,5.5
407,6,19.5,0.0,1,2,1,2021,19,5,19.5
408,10,8.5,0.0,1,12,1,2022,10,6,8.5
409,18,14.0,4.0,3,9,4,2023,27,3,10.0
410,16,13.5,0.0,6,2,1,2023,16,4,13.5
411,6,11.0,1.0,2,8,3,2020,26,3,10.0
412,29,11.5,0.0,2,1,1,2025,7,2,11.5
413,8,13.5,0.0,6,10,4,2021,18,1,13.5
414,4,30.0,0.0,4,5,2,2023,18,4,30.0
415,22,12.5,0.0,2,1,1,2025,13,1,12.5
416,2,4.0,0.0,1,2,1,2022,25,5,4.0
417,12,1.5,0.0,8,10,4,2021,13,3,1.5
418,23,4.5,0.0,0,2,1,2021,10,3,4.5
419,11,3.5,0.5,0,7,3,2024,16,2,3.0
420,8,13.0,0.0,1,8,3,2020,3,1,13.0
421,16,13.5,1.0,1,10,4,2022,4,2,12.5
422,22,5.5,0.5,5,8,3,2021,21,6,5.0
423,17,3.5,0.5,8,4,2,2023,24,1,3.0
424,17,7.0,0.0,4,8,3,2024,8,4,7.0
425,20,8.0,0.0,6,12,1,2024,17,2,8.0
426,8,16.0,0.0,10,12,1,2025,15,1,16.0
427,9,3.5,0.0,6,6,3,2023,14,3,3.5
428,22,12.0,6.0,8,9,4,2022,19,1,6.0
429,21,4.5,2.5,11,9,4,2024,17,2,2.0
430,3,5.0,1.0,10,12,1,2021,20,1,4.0
431,2,5.5,0.5,1,9,4,2020,12,6,5.0
432,16,12.0,0.5,1,5,2,2021,11,2,11.5
433,0,6.0,0.0,0,2,1,2024,5,1,6.0
434,27,4.0,0.0,2,1,1,2021,30,6,4.0
435,11,3.0,0.0,2,5,2,2023,30,2,3.0
436,18,5.5,0.5,1,7,3,2025,11,5,5.0
437,36,4.5,0.0,0,1,1,2025,1,3,4.5
438,20,9.5,0.5,6,4,2,2022,27,3,9.0
439,0,17.5,0.0,1,2,1,2024,17,6,17.5
440,34,13.5,0.0,1,1,1,2026,29,4,13.5
441,3,6.5,2.0,1,5,2,2025,20,2,4.5
442,6,9.0,2.5,1,10,4,2020,19,1,6.5
443,20,7.5,1.0,6,3,2,2023,11,6,6.5
444,6,4.0,0.0,8,6,3,2023,24,6,4.0
445,8,7.0,0.0,8,7,3,2022,22,5,7.0
446,34,4.5,1.0,10,11,4,2023,2,4,3.5
447,21,8.0,0.0,1,7,3,2025,15,2,8.0
448,0,14.5,0.0,1,10,4,2025,3,5,14.5
449,16,7.5,0.0,0,8,3,2020,14,5,7.5
450,4,24.0,0.0,3,10,4,2020,3,6,24.0
451,1,5.5,1.0,2,3,2,2024,18,1,4.5
452,6,5.0,2.0,10,1,1,2021,20,3,3.0
453,18,9.0,0.0,2,3,2,2023,30,4,9.0
454,24,3.5,0.0,6,2,1,2025,20,4,3.5
455,22,10.5,0.0,0,3,2,2025,14,5,10.5
456,37,8.5,0.0,5,8,3,2024,21,3,8.5
457,23,7.0,0.0,1,12,1,2022,23,5,7.0
458,8,11.5,0.5,4,6,3,2022,7,2,11.0
459,22,7.5,0.0,6,11,4,2022,8,2,7.5
460,8,10.5,0.0,1,12,1,2023,22,5,10.5
461,19,1.0,0.5,11,6,3,2025,14,6,0.5
462,19,11.5,0.5,1,8,3,2023,17,4,11.0
463,12,2.5,0.0,1,1,1,2022,14,5,2.5
464,18,9.0,1.0,1,7,3,2022,2,6,8.0
465,19,17.5,1.0,1,10,4,2020,19,1,16.5
466,37,10.0,0.0,6,2,1,2023,1,3,10.0
467,17,5.5,0.0,1,7,3,2023,1,6,5.5
468,21,7.0,0.0,1,11,4,2023,6,1,7.0
469,8,9.0,1.0,1,12,1,2023,14,4,8.0
470,11,7.0,0.0,0,12,1,2023,2,6,7.0
471,22,8.5,0.0,1,11,4,2020,20,5,8.5
472,26,4.0,0.0,6,1,1,2022,5,3,4.0
473,26,5.0,0.0,6,9,4,2024,21,6,5.0
474,0,10.5,0.0,6,7,3,2025,24,4,10.5
475,10,8.0,0.5,2,9,4,2022,2,5,7.5
476,8,10.0,0.0,1,8,3,2023,22,2,10.0
477,16,8.5,0.0,3,11,4,2022,28,1,8.5
